,year,nationality,gender,subj_code,subj_name,number
358,2022,NATA,GESW,SF047,Krankenpflege-Ausbildung (ab 2004 zu SF234),0
359,2020,NATA,GESW,SF084,Italienisch,296
360,2023,NATD,GESM,SF220,Milch- und Molkereiwirtschaft,29
361,2020,NATD,GESM,SF099,Lernbehindertenpädagogik (ab 2016 zu SF190),0
362,2021,NATD,GESM,SF142,Schiffbau/Schiffstechnik,588
363,2019,NATD,GESM,SF333,Haushaltswissenschaft,40
364,2021,NATA,GESM,SF233,Nichtärztliche Heilberufe/Therapien,210
365,2022,NATD,GESM,SF177,Werkstofftechnik,2191
366,2018,NATA,GESW,SF275,Wissenschaftsgeschichte/Technikgeschichte,1
367,2022,NATA,GESM,SF004,Interdisz. Studien (Schwerpunkt Geisteswiss.),1157
368,2021,NATA,GESW,SF225,Textil- und Bekleidungstechnik/-gewerbe,270
369,2020,NATD,GESM,SF109,Publizistik (ab 2008 zu SF303),0
370,2018,NATA,GESW,SF035,Darstellende Kunst/Bühnenkunst/Regie,306
371,2019,NATD,GESM,SF083,Islamwissenschaft,401
372,2018,NATD,GESW,SF089,Verkehrsingenieurwesen,1087
373,2023,NATD,GESM,SF127,Philosophie,8409
374,2021,NATD,GESM,SF047,Krankenpflege-Ausbildung (ab 2004 zu SF234),0
375,2021,NATA,GESW,SF071,Haushalts- und Ernährungswissenschaft,431
376,2021,NATD,GESW,SF133,Medienk./Komm.-/Infowissenschaft (ab 08 zu SF303),0
377,2018,NATA,GESW,SF037,Archiv- und Dokumentationswissenschaft,40
378,2022,NATD,GESW,SF025,Biochemie,4304
379,2022,NATD,GESW,SF265,Bankwesen,302
380,2022,NATD,GESM,SF179,Wirtschaftsingenieurw.m.wirtschaftswiss.Schwerpkt.,19377
381,2023,NATA,GESM,SF185,Zahnmedizin,959
382,2023,NATA,GESW,SF271,Deutsch als Fremdsprache oder als Zweitsprache,1153
383,2018,NATD,GESM,SF048,Elektrotechnik/Elektronik,42779
384,2018,NATA,GESM,SF080,Instrumentalmusik,2030
385,2021,NATD,GESM,SF287,Neue Medien,1096
386,2019,NATA,GESM,SF174,Volkskunde,25
387,2023,NATD,GESM,SF221,Bioinformatik,1153
388,2021,NATD,GESW,SF039,Geowissenschaften allgemein,3590
389,2023,NATA,GESW,SF031,Byzantinistik,10
390,2023,NATD,GESW,SF213,Versorgungstechnik,398
391,2020,NATD,GESW,SF003,Agrarwissenschaft/Landwirtschaft,6966
392,2023,NATA,GESW,SF177,Werkstofftechnik,626
393,2020,NATA,GESM,SF284,Angewandte Sprachwissenschaft,209
394,2018,NATD,GESM,SF142,Schiffbau/Schiffstechnik,711
