,acyear,nationality,gender,subj_code,subj_name,stud_count
248,2023,NATA,GESM,SF183,Wirtschafts-/Sozialgeschichte,7
249,2022,NATD,GESW,SF361,Schulpädagogik,4
250,2018,NATD,GESW,SF182,Internationale Betriebswirtschaft/Management,3700
251,2019,NATD,GESM,SF081,Iranistik,14
252,2019,NATA,GESW,SF022,Informations-/Bibliothekswiss. (nicht f. Verw.-FH),27
253,2020,NATD,GESM,SF097,Lebensmitteltechnologie,249
254,2020,NATD,GESM,SF107,Medizin (Allgemein-Medizin),2712
255,2019,NATD,GESM,SF237,Math.Stat./Wahrscheinlichkeitsr. (ab 2020 z.SF312),122
256,2021,NATD,GESM,SF140,Angewandte Systemwissenschaften,162
257,2021,NATA,GESM,SF235,Fahrzeugtechnik,352
258,2022,NATD,GESM,SF175,Volkswirtschaftslehre,1348
259,2019,NATD,GESW,SF227,Weinbau und Kellerwirtschaft,72
260,2019,NATD,GESW,SF071,Haushalts- und Ernährungswissenschaft,781
261,2018,NATA,GESW,SF277,Wirtschaftsinformatik,503
262,2021,NATD,GESW,SF370,Wirtschaftsingenieurw. m. ingenieurwiss.Schwerpkt.,1188
263,2021,NATA,GESM,SF237,Math.Stat./Wahrscheinlichkeitsr. (ab 2020 z.SF312),0
264,2021,NATA,GESW,SF321,Erwachsenenbildung und außerschulische Jugendbild.,8
265,2023,NATA,GESM,SF089,Verkehrsingenieurwesen,241
266,2018,NATA,GESM,SF082,Holz-/Fasertechnik,10
267,2018,NATD,GESM,SF144,Technische Kybernetik,38
268,2018,NATD,GESW,SF087,Körperbehindertenpädagogik (ab 2016 zu SF190),0
269,2020,NATD,GESW,SF241,Kerntechnik/Kernverfahrenstechn.(ab 2020 zu SF211),0
270,2021,NATD,GESW,SF277,Wirtschaftsinformatik,1294
271,2019,NATD,GESM,SF080,Instrumentalmusik,113
272,2021,NATD,GESW,SF131,Portugiesisch,2
273,2018,NATA,GESW,SF039,Geowissenschaften allgemein,140
274,2022,NATD,GESW,SF121,Medieninformatik,720
275,2022,NATA,GESW,SF283,Landschaftsökol./Biogeografie (ab 2012 ohne SF385),3
276,2019,NATA,GESM,SF030,"Interdisz.Studien(Schwerp.Rechts-,Wirt.-u.Sozialw)",249
277,2023,NATD,GESW,SF215,Gesundheitstechnik,705
278,2023,NATD,GESM,SF365,Pädagogik der frühen Kindheit,66
279,2020,NATD,GESW,SF001,Ägyptologie,74
280,2020,NATA,GESM,SF380,Mechatronik,1062
281,2023,NATA,GESW,SF175,Volkswirtschaftslehre,727
282,2020,NATD,GESM,SF190,Sonderpädagogik,290
283,2020,NATD,GESM,SF200,Computer- und Kommunikationstechniken,408
284,2023,NATD,GESM,SF125,Agrarökonomie,75
285,2020,NATD,GESW,SF147,Sozialkunde,252
286,2019,NATA,GESM,SF270,Berufs- und Wirtschaftspädagogik,7
287,2022,NATA,GESW,SF043,Neugriechisch,7
288,2021,NATD,GESW,SF037,Archiv- und Dokumentationswissenschaft,41
289,2022,NATD,GESW,SF027,Blinden-/Sehbehindertenpädagogik(ab 2016 zu SF190),0
290,2020,NATA,GESW,SF088,Optoelektronik,4
291,2020,NATA,GESM,SF140,Angewandte Systemwissenschaften,112
292,2019,NATD,GESW,SF072,Interdisz. Studien (Schwerp. Ingenieurwissensch.),685
293,2020,NATA,GESW,SF087,Körperbehindertenpädagogik (ab 2016 zu SF190),0
294,2020,NATA,GESM,SF141,Abfallwirtschaft,0
295,2022,NATA,GESM,SF101,Restaurierungskunde,2
296,2019,NATA,GESM,SF177,Werkstofftechnik,237
297,2020,NATD,GESM,SF096,Lebensmittelchemie,113
298,2023,NATA,GESW,SF019-07,Friesisch (2007 aufgelöst),0
299,2020,NATD,GESM,SF106,Tanzpädagogik,3
300,2022,NATA,GESM,SF091,Kunsterziehung,16
301,2022,NATD,GESM,SF270,Berufs- und Wirtschaftspädagogik,47
302,2020,NATA,GESM,SF287,Neue Medien,51
303,2019,NATA,GESW,SF263,Polizei/Verfassungsschutz,10
304,2019,NATA,GESM,SF031,Byzantinistik,0
305,2023,NATD,GESW,SF216,Glastechnik/Keramik,3
306,2020,NATA,GESW,SF181,Wirtschaftspädagogik,37
307,2021,NATA,GESM,SF080,Instrumentalmusik,284
308,2023,NATA,GESM,SF182,Internationale Betriebswirtschaft/Management,2261
309,2018,NATA,GESW,SF132,Psychologie,944
310,2022,NATA,GESM,SF247,Medizinische Informatik,144
311,2020,NATA,GESM,SF047,Krankenpflege-Ausbildung (ab 2004 zu SF234),0
312,2022,NATA,GESM,SF007,Angewandte Kunst,66
313,2022,NATD,GESM,SF176,Werkerziehung,7
314,2018,NATD,GESW,SF181,Wirtschaftspädagogik,570
315,2019,NATA,GESW,SF023,Bildende Kunst/Grafik,180
316,2021,NATD,GESW,SF371,Tierproduktion,0
317,2019,NATA,GESW,SF169,Ethik,11
318,2022,NATD,GESM,SF030,"Interdisz.Studien(Schwerp.Rechts-,Wirt.-u.Sozialw)",676
319,2018,NATD,GESM,SF287,Neue Medien,72
320,2021,NATD,GESM,SF048,Elektrotechnik/Elektronik,4752
321,2021,NATA,GESW,SF224,Physikal. Technik/Mechanische Verfahrenstechnik,30
322,2022,NATD,GESW,SF266,Finanzverwaltung,360
323,2021,NATD,GESW,SF132,Psychologie,8325
324,2023,NATA,GESM,SF186,Lernbereich Naturwissenschaft/Sachunterricht,4
325,2023,NATA,GESW,SF270,Berufs- und Wirtschaftspädagogik,9
326,2018,NATA,GESM,SF081,Iranistik,2
327,2018,NATA,GESM,SF237,Math.Stat./Wahrscheinlichkeitsr. (ab 2020 z.SF312),55
328,2023,NATA,GESM,SF040,"Interdisz. Studien (Schwerpunkt Kunst, Kunstwiss.)",33
329,2021,NATA,GESW,SF072,Interdisz. Studien (Schwerp. Ingenieurwissensch.),332
330,2018,NATD,GESM,SF047,Krankenpflege-Ausbildung (ab 2004 zu SF234),0
331,2021,NATA,GESW,SF464,Facility Management,13
332,2023,NATA,GESW,SF030,"Interdisz.Studien(Schwerp.Rechts-,Wirt.-u.Sozialw)",524
333,2022,NATD,GESW,SF120,"Nordistik/Skandinavist.(Nord.Phil.,Einzelsp.a.n.g)",106
334,2022,NATA,GESW,SF380,Mechatronik,159
335,2018,NATD,GESW,SF184,Wirtschaftswissenschaften,4250
336,2021,NATD,GESW,SF038,Lateinamerika-Studien,17
337,2023,NATA,GESW,SF176,Werkerziehung,0
338,2020,NATD,GESW,SF242,Innenarchitektur,457
339,2022,NATA,GESW,SF140,Angewandte Systemwissenschaften,40
340,2022,NATD,GESW,SF026,Biologie,4726
341,2018,NATD,GESM,SF141,Abfallwirtschaft,16
342,2023,NATD,GESM,SF126,Pharmazie,450
343,2022,NATA,GESW,SF286,Mikrosystemtechnik,55
344,2020,NATD,GESW,SF002,Afrikanistik,63
345,2020,NATD,GESM,SF193,Kirchenmusik,24
346,2022,NATA,GESW,SF287,Neue Medien,65
347,2019,NATA,GESW,SF020,Bergbau/Bergtechnik,52
348,2020,NATD,GESM,SF203,Industriedesign/Produktgestaltung,187
349,2022,NATD,GESM,SF031,Byzantinistik,0
350,2022,NATD,GESM,SF271,Deutsch als Fremdsprache oder als Zweitsprache,12
351,2020,NATD,GESW,SF148,Sozialwissenschaften,1627
352,2019,NATD,GESW,SF073,Judaistik/Hebräisch,21
353,2019,NATA,GESW,SF260,Bundeswehrverwaltung,1
354,2020,NATA,GESM,SF286,Mikrosystemtechnik,151
355,2019,NATA,GESW,SF166,Sportmanagement/Sportökonomie,17
356,2020,NATA,GESM,SF046,Sozialmed./Öff. Gesundheitsw. (ab 2004 zu SF232),0
357,2019,NATA,GESM,SF176,Werkerziehung,0
358,2022,NATA,GESW,SF047,Krankenpflege-Ausbildung (ab 2004 zu SF234),0
359,2020,NATA,GESW,SF084,Italienisch,58
360,2023,NATD,GESM,SF220,Milch- und Molkereiwirtschaft,11
361,2020,NATD,GESM,SF099,Lernbehindertenpädagogik (ab 2016 zu SF190),0
362,2021,NATD,GESM,SF142,Schiffbau/Schiffstechnik,80
363,2019,NATD,GESM,SF333,Haushaltswissenschaft,7
364,2021,NATA,GESM,SF233,Nichtärztliche Heilberufe/Therapien,53
365,2022,NATD,GESM,SF177,Werkstofftechnik,198
366,2018,NATA,GESW,SF275,Wissenschaftsgeschichte/Technikgeschichte,0
367,2022,NATA,GESM,SF004,Interdisz. Studien (Schwerpunkt Geisteswiss.),339
368,2021,NATA,GESW,SF225,Textil- und Bekleidungstechnik/-gewerbe,36
369,2020,NATD,GESM,SF109,Publizistik (ab 2008 zu SF303),0
370,2018,NATA,GESW,SF035,Darstellende Kunst/Bühnenkunst/Regie,95
371,2019,NATD,GESM,SF083,Islamwissenschaft,27
372,2018,NATD,GESW,SF089,Verkehrsingenieurwesen,124
373,2023,NATD,GESM,SF127,Philosophie,925
374,2021,NATD,GESM,SF047,Krankenpflege-Ausbildung (ab 2004 zu SF234),0
375,2021,NATA,GESW,SF071,Haushalts- und Ernährungswissenschaft,87
376,2021,NATD,GESW,SF133,Medienk./Komm.-/Infowissenschaft (ab 08 zu SF303),0
377,2018,NATA,GESW,SF037,Archiv- und Dokumentationswissenschaft,10
378,2022,NATD,GESW,SF025,Biochemie,699
379,2022,NATD,GESW,SF265,Bankwesen,36
380,2022,NATD,GESM,SF179,Wirtschaftsingenieurw.m.wirtschaftswiss.Schwerpkt.,2247
381,2023,NATA,GESM,SF185,Zahnmedizin,90
382,2023,NATA,GESW,SF271,Deutsch als Fremdsprache oder als Zweitsprache,276
383,2018,NATD,GESM,SF048,Elektrotechnik/Elektronik,6346
384,2018,NATA,GESM,SF080,Instrumentalmusik,374
385,2021,NATD,GESM,SF287,Neue Medien,98
386,2019,NATA,GESM,SF174,Volkskunde,7
387,2023,NATD,GESM,SF221,Bioinformatik,118
388,2021,NATD,GESW,SF039,Geowissenschaften allgemein,531
389,2023,NATA,GESW,SF031,Byzantinistik,1
390,2023,NATD,GESW,SF213,Versorgungstechnik,84
391,2020,NATD,GESW,SF003,Agrarwissenschaft/Landwirtschaft,975
392,2023,NATA,GESW,SF177,Werkstofftechnik,141
393,2020,NATA,GESM,SF284,Angewandte Sprachwissenschaft,46
394,2018,NATD,GESM,SF142,Schiffbau/Schiffstechnik,106
395,2022,NATD,GESM,SF272,Alte Geschichte,17
396,2020,NATD,GESW,SF149,Soziologie,1830
397,2019,NATA,GESW,SF261,Innere Verwaltung,20
398,2019,NATA,GESW,SF021,Betriebswirtschaftslehre,3460
399,2022,NATD,GESM,SF032,Chemie,2324
400,2022,NATA,GESW,SF046,Sozialmed./Öff. Gesundheitsw. (ab 2004 zu SF232),0
401,2019,NATD,GESW,SF074,Transport-/Fördertechnik,2
402,2020,NATA,GESW,SF085,Japanologie,39
403,2022,NATA,GESM,SF245,Sozialpädagogik,11
404,2018,NATA,GESW,SF370,Wirtschaftsingenieurw. m. ingenieurwiss.Schwerpkt.,733
405,2020,NATD,GESM,SF192,Dirigieren,2
406,2019,NATA,GESM,SF175,Volkswirtschaftslehre,485
407,2020,NATD,GESM,SF202,Fertigungs-/Produktionstechnik,267
408,2021,NATA,GESM,SF234,Pflegewissenschaft/-management,35
409,2022,NATD,GESM,SF178,Wirtschafts-/Sozialgeografie,1
410,2018,NATD,GESM,SF049,Interdisz. Studien (Schwerp. Naturwissenschaften),287
411,2019,NATD,GESM,SF082,Holz-/Fasertechnik,113
412,2018,NATD,GESW,SF183,Wirtschafts-/Sozialgeschichte,3
