,year,subj_grp_code,subj_grp_name,gender,number
942,2021,SB-RWSW-11,Erziehungswissenschaften,m,2132
943,2023,LB-RW-01,Rechtswissenschaften,m,3559
944,2020,SB-RWSW-10,Psychologie,m,2131
945,2019,BIB-ZENTRAL-01,Zentralbibliothek,m,209
946,2020,SB-SKW-17,Sonderpädagogik,m,0
947,2018,SB-RWSW-04,Sozialwissenschaften/Soziologie,m,1578
948,2019,SB-RWSW-03,Politikwissenschaft,m,1049
949,2021,FACHGR-INGW-01,Ingenieurwissenschaften allgemein,m,1904
950,2021,SB-SKW-01,Geisteswissenschaften allgemein,m,391
951,2021,SB-NATW-06,Pharmazie,f,739
952,2019,PHIL-KLASS-01,Altphilologie (klassische Philologie),f,188
953,2023,SB-AGRW-02,"Agrarwissensch., Lebensmittel- u. Getränketechnik",f,1321
954,2021,EINR-VERS-01,Zentrale Betriebs- und Versorgungseinrichtungen,f,136
955,2020,SB-NATW-07,Biologie,f,4568
956,2022,SB-AGRW-03,"Forstwissenschaft, Holzwirtschaft",f,261
957,2021,SB-NATW-04,"Physik, Astronomie",f,2221
958,2023,MEDVET-KP-01,Klinisch-praktische Veterinärmedizin,m,197
959,2023,SB-INGW-08,Bauingenieurwesen,m,3467
960,2023,MEDHUM-KP-01,Klinisch-prakt. Humanmedizin (ohne Zahnmedizin),f,26677
961,2020,SB-KUNSTW-04,"Darstellende Kunst, Film u.Fernsehen, Theaterwiss.",f,389
962,2020,SB-NATW-01,"Mathematik, Naturwissenschaften allgemein",f,302
963,2018,HS-VERW-02,Zentral verwaltete Hörsäle und Lehrräume,f,0
964,2020,SB-AGRW-04,Ernährungs- und Haushaltswissenschaften,f,433
965,2018,SB-SKW-14,Kulturwissenschaften i.e.S.,m,247
966,2018,FACHGR-RWSW-01,"Rechts-, Wirtschafts- u.Sozialwissenschaften allg.",f,628
967,2020,MEDHUM-KT-01,Klinisch-theor. Humanmedizin (einschl.Zahnmedizin),m,6029
968,2023,SB-INGW-09,Vermessungswesen,m,509
969,2021,SB-AGRW-03,"Forstwissenschaft, Holzwirtschaft",f,299
970,2020,MEDHUM-KP-01,Klinisch-prakt. Humanmedizin (ohne Zahnmedizin),m,23020
971,2018,SB-SKW-12,"Slawistik, Baltistik, Finno-Ugristik",m,167
972,2019,SF013,Architektur,f,1005
973,2018,BIB-ZENTRAL-01,Zentralbibliothek,m,207
974,2021,SB-AGRW-02,"Agrarwissensch., Lebensmittel- u. Getränketechnik",f,1339
975,2020,EINR-SONST-01,Übrige Ausbildungseinrichtungen,m,212
976,2020,SB-RWSW-12,Kommunikationswissenschaft/Publizistik,m,343
977,2021,SB-NATW-02,Mathematik,f,1578
978,2023,FACHGR-RWSW-01,"Rechts-, Wirtschafts- u.Sozialwissenschaften allg.",m,437
