,year,nationality,gender,subj_code,subj_name,number
488,2020,domestic,m,092,"Kunstgeschichte, Kunstwissenschaft",298
489,2022,domestic,f,071,Haushalts- und Ernährungswissenschaft,522
490,2020,domestic,m,102,Schauspiel,23
491,2021,foreign,m,370,Wirtschaftsingenieurw. m. ingenieurwiss.Schwerpkt.,1442
492,2020,foreign,m,282,Biotechnologie,180
493,2020,foreign,m,042,Wirtschaftsrecht,83
494,2021,foreign,m,130,Westslawisch (allgemein und a.n.g.),2
495,2020,domestic,f,245,Sozialpädagogik,1703
496,2019,domestic,f,179,Wirtschaftsingenieurw.m.wirtschaftswiss.Schwerpkt.,897
497,2018,domestic,f,230,Gesang,40
498,2023,domestic,m,223,Nautik/Seefahrt,82
499,2020,foreign,f,186,Lernbereich Naturwissenschaft/Sachunterricht,17
500,2019,domestic,f,033,Chemie-Ingenieurwesen/Chemieverfahrenstechnik,345
501,2022,domestic,m,137,"Romanistik (Roman.Philologie,Einzelsprach. a.n.g.)",69
502,2022,domestic,f,321,Erwachsenenbildung und außerschulische Jugendbild.,118
503,2020,foreign,f,185,Zahnmedizin,124
504,2021,foreign,m,276,Wirtschaftsmathematik,70
505,2018,domestic,m,095,Latein,113
506,2020,domestic,f,005,Klassische Philologie,20
507,2018,domestic,m,105,Mathematik,3705
508,2020,foreign,m,043,Neugriechisch,1
509,2018,foreign,f,172,Verwaltungswissenschaft/-wesen,89
510,2019,foreign,m,275,Wissenschaftsgeschichte/Technikgeschichte,1
511,2023,domestic,f,064,Naturschutz,39
512,2021,domestic,m,085,Japanologie,173
513,2018,foreign,m,188,Allgemeine Literaturwissenschaft,32
514,2018,domestic,f,137,"Romanistik (Roman.Philologie,Einzelsprach. a.n.g.)",299
515,2020,domestic,m,008,Anglistik/Englisch,1740
516,2018,foreign,f,078,Indologie,2
517,2021,foreign,m,036,Sonstige Regionalwissenschaften,7
518,2020,foreign,m,189,Niederdeutsch,0
519,2023,foreign,f,135,Rechtswissenschaft,1465
520,2022,domestic,f,227,Weinbau und Kellerwirtschaft,55
521,2018,foreign,m,042,Wirtschaftsrecht,94
522,2022,domestic,m,230,Gesang,12
523,2023,foreign,m,280,Kartografie,15
524,2022,foreign,f,333,Haushaltswissenschaft,0
525,2019,domestic,m,084,Italienisch,32
526,2021,domestic,f,273,Mittlere und neuere Geschichte,10
527,2019,foreign,m,035,Darstellende Kunst/Bühnenkunst/Regie,32
528,2021,foreign,f,126,Pharmazie,334
529,2019,foreign,f,126,Pharmazie,276
530,2019,domestic,f,034,Dänisch,5
531,2021,domestic,f,034,Dänisch,12
532,2023,foreign,m,284,Angewandte Sprachwissenschaft,53
533,2022,foreign,m,194,Tonmeister,23
534,2021,domestic,f,274,Tourismuswirtschaft,970
535,2019,domestic,f,274,Tourismuswirtschaft,1371
536,2022,foreign,m,204,Malerei,13
537,2022,domestic,m,232,Gesundheitswissenschaften/-management,933
538,2023,domestic,m,464,Facility Management,177
539,2022,foreign,f,086,"Katholische Theologie, - Religionslehre",8
540,2022,domestic,f,070,Griechisch,24
541,2021,foreign,f,220,Milch- und Molkereiwirtschaft,2
542,2023,domestic,f,312,Statistik,67
543,2023,foreign,f,230,Gesang,79
544,2023,foreign,m,044,Ost- und Südosteuropa-Studien,4
545,2022,domestic,f,320,Ernährungswissenschaft,739
546,2022,domestic,m,138,Agrarbiologie,18
547,2020,foreign,f,089,Verkehrsingenieurwesen,55
548,2021,foreign,m,273,Mittlere und neuere Geschichte,4
549,2020,foreign,m,041,Sonstiges Orientierungsstudium,0
550,2021,foreign,m,429,Stahlbau,0
551,2020,domestic,f,090,Lernbereich Geisteswissenschaften,996
552,2023,domestic,m,224,Physikal. Technik/Mechanische Verfahrenstechnik,167
553,2019,foreign,m,034,Dänisch,0
554,2023,domestic,f,219,Kunststofftechnik,15
555,2020,domestic,m,095,Latein,83
556,2018,foreign,f,075,Holzwirtschaft,1
557,2020,domestic,m,105,Mathematik,3214
558,2018,foreign,m,187,Asiatische Sprachen u.Kulturen/Asienwissenschaften,53
559,2021,foreign,m,033,Chemie-Ingenieurwesen/Chemieverfahrenstechnik,174
560,2020,foreign,m,188,Allgemeine Literaturwissenschaft,21
561,2018,domestic,m,008,Anglistik/Englisch,1712
562,2023,foreign,f,136,Religionswissenschaft,34
563,2022,domestic,f,226,Verfahrenstechnik,344
564,2019,foreign,m,274,Tourismuswirtschaft,115
565,2023,domestic,f,190,Geistigbeh./Prakt.-Bildb.-Pädag.(ab 2016 zu SF190),0
566,2018,foreign,m,041,Sonstiges Orientierungsstudium,0
567,2018,domestic,f,234,Pflegewissenschaft/-management,1274
568,2021,domestic,m,182,Internationale Betriebswirtschaft/Management,1899
569,2020,foreign,f,182,Internationale Betriebswirtschaft/Management,1998
570,2021,foreign,m,179,Wirtschaftsingenieurw.m.wirtschaftswiss.Schwerpkt.,495
571,2019,domestic,m,190,Körperbehindertenpädagogik (ab 2016 zu SF190),0
572,2020,domestic,f,006,Amerikanistik/Amerikakunde,236
573,2018,domestic,m,092,"Kunstgeschichte, Kunstwissenschaft",284
574,2018,domestic,m,102,Schauspiel,20
575,2021,domestic,m,088,Optoelektronik,33
576,2019,foreign,f,220,Milch- und Molkereiwirtschaft,3
577,2022,foreign,f,180,Kaukasistik,1
578,2019,domestic,m,181,Wirtschaftspädagogik,300
579,2022,foreign,m,195,Gesundheitspädagogik,10
580,2021,domestic,f,275,Wissenschaftsgeschichte/Technikgeschichte,2
581,2022,foreign,m,205,Bildhauerei/Plastik,4
582,2023,domestic,m,225,Textil- und Bekleidungstechnik/-gewerbe,45
583,2019,domestic,f,275,Wissenschaftsgeschichte/Technikgeschichte,1
584,2022,domestic,m,233,Nichtärztliche Heilberufe/Therapien,440
585,2023,foreign,m,043,Neugriechisch,0
586,2021,domestic,f,035,Darstellende Kunst/Bühnenkunst/Regie,51
587,2019,domestic,f,035,Darstellende Kunst/Bühnenkunst/Regie,94
588,2022,foreign,f,085,Japanologie,54
589,2021,foreign,f,129,Politikwissenschaft/Politologie,900
590,2019,foreign,f,127,Philosophie,389
591,2021,foreign,f,221,Bioinformatik,88
592,2023,foreign,m,283,Landschaftsökol./Biogeografie (ab 2012 ohne SF385),7
593,2020,foreign,m,280,Kartografie,22
594,2020,foreign,m,040,"Interdisz. Studien (Schwerpunkt Kunst, Kunstwiss.)",42
595,2019,foreign,m,272,Alte Geschichte,0
596,2021,domestic,m,180,Kaukasistik,0
597,2023,domestic,f,061,Meliorationswesen,0
598,2018,domestic,f,232,Gesundheitswissenschaften/-management,3888
599,2022,domestic,f,225,Textil- und Bekleidungstechnik/-gewerbe,131
600,2022,domestic,m,139,Russisch,11
601,2018,foreign,m,040,"Interdisz. Studien (Schwerpunkt Kunst, Kunstwiss.)",21
602,2023,domestic,f,457,Umwelttechnik (einschließlich Recycling),239
603,2021,foreign,m,274,Tourismuswirtschaft,90
604,2020,domestic,f,101,Restaurierungskunde,74
605,2020,domestic,f,091,Kunsterziehung,464
606,2018,foreign,m,280,Kartografie,24
607,2023,foreign,m,189,Niederdeutsch,0
608,2018,foreign,f,190,Verhaltensgestörtenpädagogik (ab 2016 zu SF190),0
609,2020,foreign,m,186,Lernbereich Naturwissenschaft/Sachunterricht,2
610,2020,domestic,f,247,Medizinische Informatik,218
611,2019,domestic,m,086,"Katholische Theologie, - Religionslehre",189
612,2021,foreign,m,034,Dänisch,0
613,2020,foreign,m,187,Asiatische Sprachen u.Kulturen/Asienwissenschaften,33
614,2019,foreign,m,033,Chemie-Ingenieurwesen/Chemieverfahrenstechnik,195
615,2023,foreign,f,231,Druck- und Reproduktionstechnik,24
616,2020,foreign,f,183,Wirtschafts-/Sozialgeschichte,12
617,2020,domestic,f,007,Angewandte Kunst,325
618,2023,domestic,f,458,Umweltschutz,84
619,2018,domestic,m,009,Anthropologie (Humanbiologie),24
620,2019,foreign,m,429,Stahlbau,0
621,2019,foreign,m,273,Mittlere und neuere Geschichte,4
622,2020,domestic,m,094,Wasserbau,73
623,2021,domestic,m,181,Wirtschaftspädagogik,290
624,2018,foreign,f,076,Hütten- und Gießereiwesen,22
