,year,subj_grp_code,subj_grp_name,gender,number
1042,2019,FACHGR-RWSW,"Rechts-, Wirtschafts- und Sozialwissenschaften",GESM,24837
1043,2019,FACHGR-KUNSTW,"Kunst, Kunstwissenschaft",GESM,4284
1044,2018,FACHGR-RWSW,"Rechts-, Wirtschafts- und Sozialwissenschaften",GESM,24734
1045,2018,,Insgesamt,GESM,154020
1046,2020,FACHGR-KUNSTW,"Kunst, Kunstwissenschaft",GESM,4302
1047,2018,FACHGR-SKW,Geisteswissenschaften,GESW,10437
1048,2023,FACHGR-ZE-01,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),GESW,7987
1049,2020,FACHGR-AGRVET,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",GESM,3261
1050,2018,FACHGR-RWSW,"Rechts-, Wirtschafts- und Sozialwissenschaften",GESW,19644
1051,2022,FACHGR-MEDHUM,Humanmedizin/Gesundheitswissenschaften,GESW,38076
1052,2020,FACHGR-RWSW,"Rechts-, Wirtschafts- und Sozialwissenschaften",GESW,21269
1053,2023,FACHGR-NATW,"Mathematik, Naturwissenschaften",GESM,30062
1054,2022,,Insgesamt,GESW,117180
1055,2022,FACHGR-INGW,Ingenieurwissenschaften,GESM,43836
1056,2022,FACHGR-KUNSTW,"Kunst, Kunstwissenschaft",GESM,4383
1057,2021,FACHGR-ZE-02,Zentr.Einricht.d.Hochschulkliniken (nur Humanmed.),GESW,1537
1058,2021,FACHGR-KUNSTW,"Kunst, Kunstwissenschaft",GESW,3426
1059,2021,FACHGR-SKW,Geisteswissenschaften,GESW,11067
1060,2019,FACHGR-ZE-02,Zentr.Einricht.d.Hochschulkliniken (nur Humanmed.),GESW,910
1061,2019,FACHGR-INGW,Ingenieurwissenschaften,GESW,10595
1062,2023,FACHGR-SKW,Geisteswissenschaften,GESM,9295
1063,2018,FACHGR-INGW,Ingenieurwissenschaften,GESW,10124
1064,2022,FACHGR-NATW,"Mathematik, Naturwissenschaften",GESW,15323
1065,2023,FACHGR-AGRVET,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",GESW,3754
1066,2018,FACHGR-MEDHUM,Humanmedizin/Gesundheitswissenschaften,GESW,31840
1067,2020,FACHGR-KUNSTW,"Kunst, Kunstwissenschaft",GESW,3259
1068,2021,FACHGR-NATW,"Mathematik, Naturwissenschaften",GESW,14969
1069,2019,FACHGR-MEDHUM,Humanmedizin/Gesundheitswissenschaften,GESW,33225
1070,2022,FACHGR-RWSW,"Rechts-, Wirtschafts- und Sozialwissenschaften",GESM,25390
1071,2018,FACHGR-KUNSTW,"Kunst, Kunstwissenschaft",GESW,3069
1072,2021,FACHGR-RWSW,"Rechts-, Wirtschafts- und Sozialwissenschaften",GESM,25494
1073,2021,FACHGR-AGRVET,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",GESM,3310
1074,2022,FACHGR-KUNSTW,"Kunst, Kunstwissenschaft",GESW,3584
1075,2023,FACHGR-SKW,Geisteswissenschaften,GESW,11047
1076,2020,FACHGR-MEDHUM,Humanmedizin/Gesundheitswissenschaften,GESM,33555
1077,2019,FACHGR-RWSW,"Rechts-, Wirtschafts- und Sozialwissenschaften",GESW,20417
1078,2021,FACHGR-RWSW,"Rechts-, Wirtschafts- und Sozialwissenschaften",GESW,22081
1079,2018,,Insgesamt,GESW,101522
1080,2020,FACHGR-SKW,Geisteswissenschaften,GESM,9771
1081,2023,FACHGR-ZE-02,Zentr.Einricht.d.Hochschulkliniken (nur Humanmed.),GESM,1255
1082,2022,FACHGR-AGRVET,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",GESW,3543
1083,2020,,Insgesamt,GESW,109707
1084,2019,FACHGR-MEDHUM,Humanmedizin/Gesundheitswissenschaften,GESM,32285
1085,2022,FACHGR-INGW,Ingenieurwissenschaften,GESW,12513
1086,2022,,Insgesamt,GESM,161055
1087,2021,FACHGR-INGW,Ingenieurwissenschaften,GESW,12143
1088,2020,FACHGR-ZE-01,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),GESM,7200
1089,2018,FACHGR-ZE-02,Zentr.Einricht.d.Hochschulkliniken (nur Humanmed.),GESM,637
1090,2019,FACHGR-NATW,"Mathematik, Naturwissenschaften",GESW,14586
1091,2021,FACHGR-ZE-02,Zentr.Einricht.d.Hochschulkliniken (nur Humanmed.),GESM,1172
1092,2020,FACHGR-NATW,"Mathematik, Naturwissenschaften",GESM,30751
1093,2020,FACHGR-INGW,Ingenieurwissenschaften,GESW,11401
