,year,nationality,gender,passed,subj_code,subj_name,number
222,2022,NATD,GESM,PRUEFBESTN,SF121,Medieninformatik,22
223,2021,NATA,GESW,PRUEFBESTN,SF247,Medizinische Informatik,3
224,2022,NATA,GESM,PRUEFBESTN,SF257,Arbeits- und Berufsberatung,0
225,2022,NATA,GESM,PRUEFBESTN,SF013,Architektur,12
226,2020,NATA,GESW,PRUEFBESTN,SF254,Sachunterricht (einschließlich Schulgarten),0
227,2019,NATD,GESW,PRUEFBESTN,SF073,Judaistik/Hebräisch,1
228,2019,NATA,GESW,PRUEFBESTN,SF089,Verkehrsingenieurwesen,7
229,2022,NATD,GESM,PRUEFBESTN,SF123,Ingenieurinformatik/Technische Informatik,53
230,2021,NATD,GESM,PRUEFBESTJ,SF126,Pharmazie,912
231,2022,NATD,GESW,PRUEFBESTN,SF071,Haushalts- und Ernährungswissenschaft,7
232,2019,NATA,GESW,PRUEFBESTJ,SF035,Darstellende Kunst/Bühnenkunst/Regie,61
233,2019,NATD,GESW,PRUEFBESTJ,SF385,Geoökologie,153
234,2019,NATD,GESW,PRUEFBESTN,SF075,Holzwirtschaft,0
235,2021,NATA,GESW,PRUEFBESTN,SF104,Maschinenbau/-wesen,28
236,2022,NATD,GESW,PRUEFBESTJ,SF261,Innere Verwaltung,1481
237,2022,NATD,GESW,PRUEFBESTN,SF227,Weinbau und Kellerwirtschaft,2
238,2021,NATA,GESW,PRUEFBESTJ,SF044,Ost- und Südosteuropa-Studien,23
239,2022,NATA,GESW,PRUEFBESTN,SF183,Wirtschafts-/Sozialgeschichte,0
240,2022,NATD,GESW,PRUEFBESTN,SF321,Erwachsenenbildung und außerschulische Jugendbild.,9
241,2019,NATA,GESW,PRUEFBESTJ,SF275,Wissenschaftsgeschichte/Technikgeschichte,0
242,2021,NATD,GESW,PRUEFBESTJ,SF390,Archäometrie (Ingenieurarchäologie),0
243,2022,NATA,GESM,PRUEFBESTN,SF253,Sozialwesen,0
244,2023,NATA,GESW,PRUEFBESTN,SF544,"Ev. Religionspädagogik, kirchliche Bildungsarbeit",0
245,2021,NATA,GESM,PRUEFBESTJ,SF234,Pflegewissenschaft/-management,20
246,2021,NATA,GESW,PRUEFBESTN,SF094,Wasserbau,4
247,2020,NATD,GESW,PRUEFBESTN,SF027,Blinden-/Sehbehindertenpädagogik(ab 2016 zu SF190),0
248,2022,NATA,GESM,PRUEFBESTN,SF017,Bauingenieurwesen/Ingenieurbau,70
249,2021,NATD,GESW,PRUEFBESTJ,SF056,Finno-Ugristik,9
250,2018,NATD,GESW,PRUEFBESTJ,SF198,Managem.im Gesundh.-u.Sozialber.(ab 2004 zu SF232),0
251,2020,NATA,GESW,PRUEFBESTJ,SF227,Weinbau und Kellerwirtschaft,19
252,2018,NATA,GESW,PRUEFBESTJ,SF066,Geophysik,17
253,2020,NATA,GESM,PRUEFBESTJ,SF003,Agrarwissenschaft/Landwirtschaft,196
254,2020,NATD,GESM,PRUEFBESTJ,SF157,Mikroelektronik,29
255,2020,NATD,GESM,PRUEFBESTN,SF180,Kaukasistik,0
256,2022,NATD,GESM,PRUEFBESTJ,SF063,Geistigbeh./Prakt.-Bildb.-Pädag.(ab 2016 zu SF190),0
257,2020,NATD,GESW,PRUEFBESTJ,SF061,Meliorationswesen,1
258,2022,NATD,GESM,PRUEFBESTN,SF029,Sportwissenschaft,23
259,2018,NATA,GESM,PRUEFBESTN,SF141,Abfallwirtschaft,0
260,2022,NATA,GESW,PRUEFBESTJ,SF133,Medienk./Komm.-/Infowissenschaft (ab 08 zu SF303),0
261,2020,NATA,GESW,PRUEFBESTJ,SF071,Haushalts- und Ernährungswissenschaft,52
262,2022,NATD,GESW,PRUEFBESTJ,SF167,Europäische Wirtschaft,352
263,2022,NATA,GESW,PRUEFBESTN,SF089,Verkehrsingenieurwesen,0
264,2018,NATD,GESW,PRUEFBESTJ,SF208,Soziale Arbeit,7449
265,2020,NATA,GESM,PRUEFBESTJ,SF149,Soziologie,58
266,2022,NATA,GESM,PRUEFBESTJ,SF073,Judaistik/Hebräisch,4
267,2023,NATA,GESM,PRUEFBESTJ,SF140,Angewandte Systemwissenschaften,114
268,2023,NATD,GESW,PRUEFBESTJ,SF110,Meteorologie,66
269,2020,NATD,GESW,PRUEFBESTJ,SF457,Umwelttechnik (einschließlich Recycling),441
270,2022,NATD,GESW,PRUEFBESTJ,SF021,Betriebswirtschaftslehre,22386
271,2021,NATA,GESW,PRUEFBESTJ,SF284,Angewandte Sprachwissenschaft,99
272,2023,NATD,GESM,PRUEFBESTJ,SF152,Allg. Sprachwissenschaft/Indogermanistik,107
273,2019,NATD,GESW,PRUEFBESTJ,SF145,Sinologie/Koreanistik,214
274,2021,NATD,GESW,PRUEFBESTJ,SF150,Spanisch,674
275,2018,NATD,GESW,PRUEFBESTJ,SF302,Medienwissenschaft,1432
276,2018,NATD,GESM,PRUEFBESTJ,SF245,Sozialpädagogik,305
277,2018,NATA,GESW,PRUEFBESTJ,SF160,Computerlinguistik,54
278,2020,NATD,GESM,PRUEFBESTN,SF086,"Katholische Theologie, - Religionslehre",27
279,2023,NATD,GESM,PRUEFBESTJ,SF548,Ur- und Frühgeschichte,40
280,2020,NATA,GESW,PRUEFBESTN,SF011,Arbeitslehre/Wirtschaftslehre,0
281,2018,NATD,GESW,PRUEFBESTJ,SF292,Islamische Studien/Islamische Theologie,26
282,2019,NATA,GESM,PRUEFBESTN,SF133,Medienk./Komm.-/Infowissenschaft (ab 08 zu SF303),0
283,2018,NATA,GESM,PRUEFBESTJ,SF081,Iranistik,2
284,2023,NATD,GESW,PRUEFBESTJ,SF256,Rechtspflege,605
285,2023,NATD,GESM,PRUEFBESTJ,SF153,"Südslawisch(Bulgarisch,Serbokroatisch,Slowen.usw.)",1
286,2023,NATA,GESM,PRUEFBESTJ,SF287,Neue Medien,26
287,2023,NATA,GESW,PRUEFBESTJ,SF004,Interdisz. Studien (Schwerpunkt Geisteswiss.),344
288,2020,NATA,GESW,PRUEFBESTJ,SF320,Ernährungswissenschaft,41
289,2018,NATA,GESW,PRUEFBESTN,SF005,Klassische Philologie,0
290,2022,NATA,GESW,PRUEFBESTJ,SF039,Geowissenschaften allgemein,140
291,2020,NATD,GESW,PRUEFBESTN,SF361,Schulpädagogik,2
292,2018,NATD,GESW,PRUEFBESTJ,SF052,Erziehungswissenschaft (Pädagogik),10886
293,2018,NATA,GESM,PRUEFBESTN,SF142,Schiffbau/Schiffstechnik,1
294,2020,NATD,GESW,PRUEFBESTJ,SF310,Regenerative Energien,80
295,2023,NATD,GESW,PRUEFBESTJ,SF016,Baltistik,0
296,2020,NATA,GESM,PRUEFBESTN,SF194,Tonmeister,0
297,2018,NATD,GESM,PRUEFBESTN,SF176,Werkerziehung,0
298,2020,NATA,GESW,PRUEFBESTJ,SF070,Griechisch,4
299,2018,NATA,GESW,PRUEFBESTJ,SF316,Elektronische Energietechnik,16
300,2023,NATD,GESM,PRUEFBESTN,SF083,Islamwissenschaft,0
301,2020,NATD,GESM,PRUEFBESTJ,SF011,Arbeitslehre/Wirtschaftslehre,102
302,2021,NATA,GESM,PRUEFBESTN,SF283,Landschaftsökol./Biogeografie (ab 2012 ohne SF385),0
303,2019,NATD,GESM,PRUEFBESTN,SF265,Bankwesen,0
304,2023,NATA,GESM,PRUEFBESTN,SF107,Medizin (Allgemein-Medizin),3
305,2023,NATA,GESM,PRUEFBESTJ,SF047,Krankenpflege-Ausbildung (ab 2004 zu SF234),0
306,2023,NATA,GESM,PRUEFBESTJ,SF380,Mechatronik,942
307,2018,NATA,GESM,PRUEFBESTJ,SF237,Math.Stat./Wahrscheinlichkeitsr. (ab 2020 z.SF312),14
308,2023,NATA,GESM,PRUEFBESTN,SF097,Lebensmitteltechnologie,4
309,2023,NATD,GESW,PRUEFBESTN,SF066,Geophysik,0
310,2018,NATD,GESM,PRUEFBESTJ,SF005,Klassische Philologie,17
311,2020,NATA,GESM,PRUEFBESTN,SF204,Malerei,0
312,2018,NATA,GESW,PRUEFBESTN,SF245,Sozialpädagogik,0
313,2023,NATD,GESM,PRUEFBESTJ,SF059,Französisch,117
314,2023,NATA,GESW,PRUEFBESTN,SF294,Materialwissenschaften,0
315,2023,NATD,GESM,PRUEFBESTN,SF333,Haushaltswissenschaft,0
316,2021,NATD,GESM,PRUEFBESTJ,SF220,Milch- und Molkereiwirtschaft,19
